call_id,leader,leader_url,members
1762585575.7542197,1755670511.19137217,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1755670511.19137217.wav,"['1755670511.19137217', '1742449557.70631029', '1754644761.11039510', '1757481796.1909335', '1755245151.15826290', '1749882707.347951', '1751261287.9717318', '1744792110.6412952', '1753436397.2260359', '1742883304.73204138', '1758091082.4195758', '1760779491.3840376', '1757322972.675852', '1757222127.6495573', '1745379363.9492801', '1761638504.8497949', '1751961020.4076839', '1753154845.13172329', '1757225610.6538485', '1751513616.830079']"
1762584896.7522143,1760697074.3112068,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1760697074.3112068.wav,"['1760697074.3112068', '1762584896.7522143', '1757815955.1494666', '1759196566.14028199']"
1762584096.7496263,1757496745.2212168,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1757496745.2212168.wav,"['1760077868.21709219', '1760858876.406659', '1761034905.2388224', '1760865374.524083', '1757496745.2212168', '1761374995.5910524', '1760010746.21159207', '1759976791.20395111', '1758504801.7518376', '1760941517.1176814', '1756105611.22507334', '1760582183.1492630', '1762584096.7496263', '1756280861.23912834']"
1762579437.7365815,1758955619.11924221,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1758955619.11924221.wav,"['1757730954.898090', '1758955619.11924221', '1748341736.27059712', '1754463423.9234727', '1751869564.3300629', '1755071034.14305065', '1752392261.7360225', '1760946052.1302942', '1761732058.9638784', '1761787472.9870059', '1758693729.9453055', '1758089563.4164959', '1762579437.7365815', '1756031288.22046768']"
1762581442.7419265,1758616730.8864920,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1758616730.8864920.wav,"['1758616730.8864920', '1759827722.19276247', '1761374934.5909508', '1761129736.3522582', '1761364174.5747592', '1762581442.7419265', '1760924214.755012', '1759136075.13742773', '1761794255.10049591', '1761709650.9136442', '1739415858.54043896', '1760781631.3872942']"
1762580453.7393354,1759023568.12320615,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1759023568.12320615.wav,"['1760508479.768893', '1760863217.488342', '1759023568.12320615', '1760078059.21714168', '1754035190.6257061', '1757039264.5048505', '1756956085.4412484', '1760426712.3163860', '1754896086.12802907', '1753091339.12848582', '1756104942.22495217', '1755585930.18418691', '1757835560.1770196', '1756347814.143296', '1761102377.2920771', '1754375066.8528346', '1753323734.1137306', '1753778883.4637712', '1754982730.13551157', '1756804936.3491269']"
1762580517.7394992,1758955619.11924221,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1758955619.11924221.wav,"['1757730954.898090', '1758955619.11924221', '1754463423.9234727', '1751869564.3300629', '1755071034.14305065', '1752392261.7360225', '1760946052.1302942', '1761732058.9638784', '1761787472.9870059', '1748252553.26485115', '1758693729.9453055', '1758089563.4164959', '1756031288.22046768']"
1762580963.7404723,1761039732.2506460,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1761039732.2506460.wav,"['1761039732.2506460', '1752038953.4636477', '1761887543.315429', '1759140150.13823110', '1758536095.8181210', '1760618127.2266601', '1762580963.7404723', '1751889930.3607681', '1761015476.1914192', '1758090271.4180141', '1759373461.15523764', '1760941278.1171457', '1758788199.10442152', '1760698281.3130274', '1761826977.10661186', '1760522063.1121094', '1759217995.14455791', '1760685853.2857245', '1761528421.6985752', '1761450013.6475532']"
1762580876.7402082,1759140150.13823110,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1759140150.13823110.wav,"['1761039732.2506460', '1752038953.4636477', '1761887543.315429', '1759140150.13823110', '1758536095.8181210', '1760618127.2266601', '1751889930.3607681', '1761015476.1914192', '1758090271.4180141', '1759373461.15523764', '1760941278.1171457', '1762580876.7402082', '1758788199.10442152', '1760698281.3130274', '1761826977.10661186', '1760522063.1121094', '1759217995.14455791', '1760685853.2857245', '1761528421.6985752', '1761450013.6475532']"
1762580400.7392107,1760089909.22027253,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1760089909.22027253.wav,"['1752217479.6180501', '1761475033.6849205', '1759905469.19862702', '1760089909.22027253', '1762580400.7392107', '1755930021.21273881', '1760427148.3175137', '1761293269.5209727', '1760512332.864718', '1759145790.13897079', '1744452906.4442973', '1741865994.67499700', '1743312430.75396120', '1742460882.70838521', '1742018232.68195593', '1760165428.518166', '1742364090.70081719', '1760425346.3131023', '1761650077.8753934', '1761471755.6805504']"
1762580060.7382316,1753422140.2011012,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1753422140.2011012.wav,"['1750061776.1557258', '1761116766.3228358', '1750496812.4766184', '1753422140.2011012', '1760873216.621426', '1748154293.25807060', '1742285047.69643538', '1753690189.3928437', '1757920106.2468848', '1747275204.20083121', '1740734346.61193319', '1738910992.51271564', '1755753216.19825961', '1751699047.2231878', '1748323677.26815544', '1753781491.4676719', '1746590051.15900763', '1752471839.7872517', '1762580060.7382316', '1744701403.5781872']"
1762580115.7384226,1759023568.12320615,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1759023568.12320615.wav,"['1760508479.768893', '1760863217.488342', '1759023568.12320615', '1760078059.21714168', '1754035190.6257061', '1757039264.5048505', '1756956085.4412484', '1760426712.3163860', '1754896086.12802907', '1753091339.12848582', '1756104942.22495217', '1755585930.18418691', '1757835560.1770196', '1756347814.143296', '1761102377.2920771', '1754375066.8528346', '1753323734.1137306', '1753778883.4637712', '1754982730.13551157', '1756804936.3491269']"
